0.972	2.100325
0.974	2.100223
0.976	2.100122
0.978	2.100021
0.980	2.099921
0.982	2.099822
0.984	2.099723
0.986	2.099625
0.988	2.099528
0.990	2.099431
0.992	2.099334
0.994	2.099239
0.996	2.099144
0.998	2.099049
1.000	2.098955
1.002	2.098862
1.004	2.098769
1.006	2.098677
1.008	2.098586
1.010	2.098495
1.012	2.098404
1.014	2.098315
1.016	2.098225
1.018	2.098136
1.020	2.098048
1.022	2.097961
1.024	2.097873
1.026	2.097787
1.028	2.097701
1.030	2.097615
1.032	2.097530
1.034	2.097446
1.036	2.097362
1.038	2.097278
1.040	2.097195
1.042	2.097112
1.044	2.097030
1.046	2.096949
1.048	2.096868
1.050	2.096787
1.052	2.096707
1.054	2.096627
1.056	2.096548
1.058	2.096470
1.060	2.096391
1.062	2.096314
1.064	2.096236
1.066	2.096159
1.068	2.096083
1.070	2.096007
1.072	2.095931
1.074	2.095856
1.076	2.095782
1.078	2.095707
1.080	2.095634
1.082	2.095560
1.084	2.095487
1.086	2.095415
1.088	2.095343
1.090	2.095271
1.092	2.095200
1.094	2.095129
1.096	2.095058
1.098	2.094988
1.100	2.094918
1.102	2.094849
1.104	2.094780
1.106	2.094712
1.108	2.094643
1.110	2.094576
1.112	2.094508
1.114	2.094441
1.116	2.094375
1.118	2.094308
1.120	2.094242
1.122	2.094177
1.124	2.094112
1.126	2.094047
1.128	2.093982
1.130	2.093918
1.132	2.093854
1.134	2.093791
1.136	2.093728
1.138	2.093665
1.140	2.093603
1.142	2.093541
1.144	2.093479
1.146	2.093418
1.148	2.093356
1.150	2.093296
1.152	2.093235
1.154	2.093175
1.156	2.093116
1.158	2.093056
1.160	2.092997
1.162	2.092938
1.164	2.092880
1.166	2.092821
1.168	2.092764
1.170	2.092706
1.172	2.092649
1.174	2.092592
1.176	2.092535
1.178	2.092479
1.180	2.092423
1.182	2.092367
1.184	2.092311
1.186	2.092256
1.188	2.092201
1.190	2.092147
1.192	2.092092
1.194	2.092038
1.196	2.091984
1.198	2.091931
1.200	2.091878
1.202	2.091825
1.204	2.091772
1.206	2.091720
1.208	2.091668
1.210	2.091616
1.212	2.091564
1.214	2.091513
1.216	2.091462
1.218	2.091411
1.220	2.091360
1.222	2.091310
1.224	2.091260
1.226	2.091210
1.228	2.091160
1.230	2.091111
1.232	2.091062
1.234	2.091013
1.236	2.090964
1.238	2.090916
1.240	2.090868
1.242	2.090820
1.244	2.090773
1.246	2.090725
1.248	2.090678
1.250	2.090631
1.252	2.090584
1.254	2.090538
1.256	2.090492
1.258	2.090446
1.260	2.090400
1.262	2.090354
1.264	2.090309
1.266	2.090264
1.268	2.090219
1.270	2.090174
1.272	2.090130
1.274	2.090085
1.276	2.090041
1.278	2.089998
1.280	2.089954
1.282	2.089911
1.284	2.089867
1.286	2.089824
1.288	2.089782
1.290	2.089739
1.292	2.089697
1.294	2.089654
1.296	2.089612
1.298	2.089571
1.300	2.089529
1.302	2.089488
1.304	2.089446
1.306	2.089405
1.308	2.089365
1.310	2.089324
1.312	2.089284
1.314	2.089243
1.316	2.089203
1.318	2.089163
1.320	2.089124
1.322	2.089084
1.324	2.089045
1.326	2.089006
1.328	2.088967
1.330	2.088928
1.332	2.088890
1.334	2.088851
1.336	2.088813
1.338	2.088775
1.340	2.088737
1.342	2.088699
1.344	2.088662
1.346	2.088624
1.348	2.088587
1.350	2.088550
1.352	2.088513
1.354	2.088477
1.356	2.088440
1.358	2.088404
1.360	2.088367
1.362	2.088331
1.364	2.088295
1.366	2.088260
1.368	2.088224
1.370	2.088189
1.372	2.088154
1.374	2.088119
1.376	2.088084
1.378	2.088049
1.380	2.088014
1.382	2.087980
1.384	2.087945
1.386	2.087911
1.388	2.087877
1.390	2.087843
